sdh sudah
stelah setelah
ni ini
yg yang
kek seperti
plg paling
pewe enak
trus terus
ndiri sendiri
gatau tidak-tahu
dll dan-lain-lain
krn karena
ga tidak
nggak tidak
rb ribu
utk untuk
bgs bagus
tp tapi
tdk tidak
dg dengan
mknan makanan
n dan
tmn teman
msh masih
blm belum
jd jadi
jln jalan
dl dulu
bwat buat
hrsnya harusnya
kt kita
msuk masuk
bngt banget
dikshtau dikasih-tau
klo kalau
mknannya makanannya
br baru
tmpt tempat
bgian bagian
ok oke
smbil sambil
mnurut menurut
hrs harus
mknan makanan
lgsg langsung
byr bayar
cm hanya
anter antar
pesen pesan
mkn makan
bnyk banyak
psen pesan
bhkn bahkan
smpe sampai
bs bisa
dimkn dimakan
hbs habis
cnderung cenderung
gt gitu
sbg sebagai
amat sangat
mnumnya minumnya
mnum minum
pdhal padahal
tnggu tunggu
dlm dalam
laper lapar
lg lagi
